"Time (s)","Pressure (hPa)"
2.316065269E1,1.006661987E3
2.319910484E1,1.006661987E3
2.323755699E1,1.006661987E3
2.327616172E1,1.006660278E3
2.331446129E1,1.006660278E3
2.335291343E1,1.006660278E3
2.339136558E1,1.006660278E3
2.342981773E1,1.006660278E3
2.346826988E1,1.006661987E3
2.350669151E1,1.006661987E3
2.354517418E1,1.006661987E3
2.358362632E1,1.006661987E3
2.362207847E1,1.006664795E3
2.366053062E1,1.006664795E3
2.369904381E1,1.006664795E3
2.373746544E1,1.006664795E3
2.377616172E1,1.006666504E3
2.381433922E1,1.006666504E3
2.385279136E1,1.006666504E3
2.389124351E1,1.006666504E3
2.392969566E1,1.006666504E3
2.396814781E1,1.006668213E3
2.400656944E1,1.006668213E3
2.404508262E1,1.006668213E3
2.408347374E1,1.006668213E3
2.412192589E1,1.006675110E3
2.416040855E1,1.006675110E3
2.419901329E1,1.006675110E3
2.423731285E1,1.006675110E3
2.427576500E1,1.006678589E3
2.431424766E1,1.006678589E3
2.435266929E1,1.006678589E3
2.439109092E1,1.006678589E3
2.442957359E1,1.006678589E3
2.446802574E1,1.006682007E3
2.450644737E1,1.006682007E3
2.454489952E1,1.006682007E3
2.458338218E1,1.006682007E3
2.462192589E1,1.006688965E3
2.466028648E1,1.006688965E3
2.469901329E1,1.006688965E3
2.473716026E1,1.006688965E3
2.477564293E1,1.006681396E3
2.481406456E1,1.006681396E3
2.485254722E1,1.006681396E3
2.489102989E1,1.006681396E3
2.492945152E1,1.006681396E3
2.496790367E1,1.006684814E3
2.500635582E1,1.006684814E3
2.504483848E1,1.006684814E3
2.508322960E1,1.006684814E3
2.512192589E1,1.006686218E3
2.516016441E1,1.006686218E3
2.519864708E1,1.006686218E3
2.523706871E1,1.006686218E3
2.527552086E1,1.006687927E3
2.531397300E1,1.006687927E3
2.535242515E1,1.006687927E3
2.539084678E1,1.006687927E3
2.542932945E1,1.006687927E3
2.546781212E1,1.006692444E3
2.550623375E1,1.006692444E3
2.554489952E1,1.006692444E3
2.558313804E1,1.006692444E3
2.562159019E1,1.006684875E3
2.566004234E1,1.006684875E3
2.569849449E1,1.006684875E3
2.573697716E1,1.006684875E3
2.577539879E1,1.006677979E3
2.581382964E1,1.006677979E3
2.585228179E1,1.006677979E3
2.589073394E1,1.006677979E3
2.592918609E1,1.006677979E3
2.596779082E1,1.006677307E3
2.600609038E1,1.006677307E3
2.604457305E1,1.006677307E3
2.608299468E1,1.006677307E3
2.612144683E1,1.006673462E3
2.615989898E1,1.006673462E3
2.619835113E1,1.006673462E3
2.623680328E1,1.006673462E3
2.627525542E1,1.006685547E3
2.631370757E1,1.006685547E3
2.635215972E1,1.006685547E3
2.639070342E1,1.006685547E3
2.642906402E1,1.006686646E3
2.646782134E1,1.006686646E3
2.650599883E1,1.006686646E3
2.654442046E1,1.006686646E3
2.658287261E1,1.006686646E3
2.662135528E1,1.006684937E3
2.665977691E1,1.006684937E3
2.669822906E1,1.006684937E3
2.673668121E1,1.006684937E3
2.677513335E1,1.006684570E3
2.681361602E1,1.006684570E3
2.685200713E1,1.006684570E3
2.689073394E1,1.006684570E3
2.692894195E1,1.006685669E3
2.696739410E1,1.006685669E3
2.700581573E1,1.006685669E3
2.704426788E1,1.006685669E3
2.708272002E1,1.006685669E3
2.712117217E1,1.006687378E3
2.715962432E1,1.006687378E3
2.719810699E1,1.006687378E3
2.723655914E1,1.006687378E3
2.727498077E1,1.006702881E3
2.731364654E1,1.006702881E3
2.735191558E1,1.006702881E3
2.739033721E1,1.006702881E3
2.742881988E1,1.006693604E3
2.746727203E1,1.006693604E3
2.750569366E1,1.006693604E3
2.754414581E1,1.006693604E3
2.758262847E1,1.006693604E3
2.762105010E1,1.006688110E3
2.765953277E1,1.006688110E3
2.769798492E1,1.006688110E3
2.773658965E1,1.006688110E3
2.777488921E1,1.006689819E3
2.781334136E1,1.006689819E3
2.785179351E1,1.006689819E3
2.789024566E1,1.006689819E3
2.792921661E1,1.006692627E3
2.796714996E1,1.006692627E3
2.800560210E1,1.006692627E3
2.804408477E1,1.006692627E3
2.808250640E1,1.006692627E3
2.812095855E1,1.006694336E3
2.815950225E1,1.006694336E3
2.819786285E1,1.006694336E3
2.823658965E1,1.006694336E3
2.827473663E1,1.006693970E3
2.831324981E1,1.006693970E3
2.835164092E1,1.006693970E3
2.839012359E1,1.006693970E3
2.842857574E1,1.006693970E3
2.846702788E1,1.006693970E3
2.850548003E1,1.006693970E3
2.854393218E1,1.006693970E3
2.858238433E1,1.006693970E3
2.862086700E1,1.006696777E3
2.865950225E1,1.006696777E3
2.869777129E1,1.006696777E3
2.873729156E1,1.006696777E3
2.877461456E1,1.006691223E3
2.881306670E1,1.006691223E3
2.885154937E1,1.006691223E3
2.889003204E1,1.006691223E3
2.892845367E1,1.006708496E3
2.896690582E1,1.006708496E3
2.900535796E1,1.006708496E3
2.904381011E1,1.006708496E3
2.908241485E1,1.006708496E3
2.912074493E1,1.006711304E3
2.915916656E1,1.006711304E3
2.919764922E1,1.006711304E3
2.923607085E1,1.006711304E3
2.927452300E1,1.006719604E3
2.931297515E1,1.006719604E3
2.935142730E1,1.006719604E3
2.938987945E1,1.006719604E3
2.942833160E1,1.006729919E3
2.946681426E1,1.006729919E3
2.950529693E1,1.006729919E3
2.954551910E1,1.006729919E3
2.958241485E1,1.006729919E3
2.962062286E1,1.006745483E3
2.965904449E1,1.006745483E3
2.969749664E1,1.006745483E3
2.973591827E1,1.006745483E3
2.977440093E1,1.006754089E3
2.981285308E1,1.006754089E3
2.985127471E1,1.006754089E3
2.988972686E1,1.006754089E3
2.992820953E1,1.006758606E3
2.996669219E1,1.006758606E3
3.000526641E1,1.006758606E3
3.004359649E1,1.006758606E3
3.008201812E1,1.006758606E3
3.012047027E1,1.006767273E3
3.015892242E1,1.006767273E3
3.019737456E1,1.006767273E3
3.023582671E1,1.006767273E3
3.027427886E1,1.006775208E3
3.031276153E1,1.006775208E3
3.035118316E1,1.006775208E3
3.038960479E1,1.006775208E3
3.042824004E1,1.006783508E3
3.046653960E1,1.006783508E3
3.050496124E1,1.006783508E3
3.054344390E1,1.006783508E3
3.058186553E1,1.006783508E3
3.062037872E1,1.006792114E3
3.065880035E1,1.006792114E3
3.069725250E1,1.006792114E3
3.073567413E1,1.006792114E3
3.077415679E1,1.006798401E3
3.081257842E1,1.006798401E3
3.085112212E1,1.006798401E3
3.088957427E1,1.006798401E3
3.092824004E1,1.006794556E3
3.096641753E1,1.006794556E3
3.100483917E1,1.006794556E3
3.104332183E1,1.006794556E3
3.108177398E1,1.006794556E3
3.112022613E1,1.006785278E3
3.115867828E1,1.006785278E3
3.119716094E1,1.006785278E3
3.123558257E1,1.006785278E3
3.127403472E1,1.006783203E3
3.131248687E1,1.006783203E3
3.135115264E1,1.006783203E3
3.138939117E1,1.006783203E3
3.142784332E1,1.006780823E3
3.146632598E1,1.006780823E3
3.150474761E1,1.006780823E3
3.154319976E1,1.006780823E3
3.158165191E1,1.006780823E3
3.162010406E1,1.006789062E3
3.165855621E1,1.006789062E3
3.169700835E1,1.006789062E3
3.173546050E1,1.006789062E3
3.177409576E1,1.006778076E3
3.181236480E1,1.006778076E3
3.185078643E1,1.006778076E3
3.188926910E1,1.006778076E3
3.192772124E1,1.006775696E3
3.196620391E1,1.006775696E3
3.200462554E1,1.006775696E3
3.204310821E1,1.006775696E3
3.208152984E1,1.006775696E3
3.211998199E1,1.006787781E3
3.215840362E1,1.006787781E3
3.219697784E1,1.006787781E3
3.223533843E1,1.006787781E3
3.227409576E1,1.006778137E3
3.231227325E1,1.006778137E3
3.235072540E1,1.006778137E3
3.238914703E1,1.006778137E3
3.242759917E1,1.006781250E3
3.246605132E1,1.006781250E3
