"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.584106440E-1,-4.235229492E-1,4.618072510E-1,9.738784790E0
5.607299800E-1,-4.163513184E-1,4.737854004E-1,9.738784790E0
5.630798340E-1,-4.331054688E-1,4.642028809E-1,9.738784790E0
5.653991700E-1,-4.378814697E-1,4.618072510E-1,9.738784790E0
5.677490230E-1,-4.331054688E-1,4.881286621E-1,9.705291748E0
5.700683590E-1,-4.163513184E-1,4.953155518E-1,9.688537598E0
5.724182120E-1,-4.067840576E-1,5.048828125E-1,9.693328857E0
5.747375480E-1,-4.019927979E-1,5.120697021E-1,9.698104858E0
5.770874020E-1,-3.900299072E-1,5.168457031E-1,9.686141968E0
5.794372550E-1,-3.708801270E-1,4.905242920E-1,9.667007446E0
5.817565910E-1,-3.493499756E-1,4.642028809E-1,9.643081665E0
5.841064450E-1,-3.421783447E-1,4.665985107E-1,9.623931885E0
5.864257810E-1,-3.230285645E-1,4.570312500E-1,9.602401733E0
5.887756340E-1,-3.278198242E-1,4.618072510E-1,9.580856323E0
5.910949700E-1,-3.182525635E-1,4.570312500E-1,9.561721802E0
5.934448240E-1,-3.230285645E-1,4.570312500E-1,9.554534912E0
5.957641600E-1,-3.110656738E-1,4.474639893E-1,9.549758911E0
5.981140130E-1,-3.134613037E-1,4.378814697E-1,9.549758911E0
6.004333490E-1,-3.086700439E-1,4.450683594E-1,9.559326172E0
6.027832030E-1,-3.158569336E-1,4.474639893E-1,9.564117432E0
6.051025390E-1,-3.038940430E-1,4.402770996E-1,9.571289062E0
6.074523920E-1,-3.086700439E-1,4.307098389E-1,9.578475952E0
6.098022460E-1,-3.014984131E-1,4.139556885E-1,9.590438843E0
6.121215820E-1,-2.943115234E-1,3.924255371E-1,9.580856323E0
6.144714350E-1,-2.967071533E-1,4.091796875E-1,9.573684692E0
6.167907710E-1,-3.014984131E-1,4.235229492E-1,9.552154541E0
6.191406250E-1,-3.110656738E-1,4.426727295E-1,9.552154541E0
6.214599610E-1,-3.302154541E-1,4.378814697E-1,9.559326172E0
6.238098140E-1,-3.469543457E-1,4.355010986E-1,9.533004761E0
6.261291500E-1,-3.349914551E-1,4.307098389E-1,9.511474609E0
6.284790030E-1,-3.302154541E-1,4.283142090E-1,9.523437500E0
6.307983390E-1,-3.254241943E-1,4.283142090E-1,9.501892090E0
6.331481930E-1,-3.469543457E-1,4.331054688E-1,9.497116089E0
